bias1,bias2,bias3,mainQuestion1Response,mainQuestion2Response,mainQuestion3Response,mainQuestion4Response,mainQuestion5Response,mainQuestion6Response
Bandwagon Effect,Attentional Bias,Anchoring Bias,This is the answer to question #1.,4. A person *remembers* to perform the actions that make up the new behavior. A person is unlikely to adopt a new behavior if they don't remember to perform the relevant actions at the right times.,This is the answer to question #3.,"6. A person *chooses* to perform the relevant actions instead of performing other actions. Even if a person remembers to perform an action, they're very unlikely to perform that action unless they choose it over the other actions or opportunities that are available to them at the same time.",This is the answer to question #5.,"9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action."
Attentional Bias,Anchoring Bias,Bandwagon Effect,I would encourage them to adopt a goal and have some reward for achievement of the goal.,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",I would ask them to think of a specific number related to what they wanted to achieve and work toward that.,5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.,I would get a group of friends others that the person knows to meet at the place of the positive habit to facilitate him not wanting to feel left out.,5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.
Anchoring Bias,Attentional Bias,Bandwagon Effect,New behavior adoption is not affected,"3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame.",New behavior adoption isn't affected,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,New behavior adoption isn't affected,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."
Attentional Bias,Anchoring Bias,Bandwagon Effect,"To help a friend or loved one to overcome the Attentional Bias and adopt a new positive habit or pattern of behavior, I would encourage them to push forward and even go with them to do positive tasks to give them company.","2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.","To help a friend or loved one to overcome the Anchoring Bias and adopt a new positive habit or pattern of behavior, I would tell them that life is not all butterflys and remind them of my own anchors i had trying to get in the habit of staying with my task.",1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,"To help a friend or loved one to overcome the Bandwagon Effect and adopt a new positive habit or pattern of behavior, I would tell them that its not important what other people think.. it would be better off to be your own person and to do the best they could.","10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels."
Attentional Bias,Bandwagon Effect,Anchoring Bias,I will try  to  motivate  him all the  time . Some time  i  show him some  example  where  those  people  get  success  at the  same  position as  like  him .,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",I will try  to  motivate him all the  time  and  i also  show  him some  example  of  success  .,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,I will try  to  motivate him all the  time  and  i also  show  him some  example  of  success  .,"3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame."
Bandwagon Effect,Anchoring Bias,Attentional Bias,help a friend or loved one to adopt a new positive habit or pattern of behavior,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,. If your friend or loved one was having trouble adopting the new habit or behavior,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,loved one was having trouble adopting the new habit or behavior,4. A person *remembers* to perform the actions that make up the new behavior. A person is unlikely to adopt a new behavior if they don't remember to perform the relevant actions at the right times.
Anchoring Bias,Attentional Bias,Bandwagon Effect,New behavior adoption isn't affected by this bias.,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,To encourage them to start going to a gym regularly I would try getting them to focus on the future. I would get them to focus on a more positive image of themselves and their body and set goals.,5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.,To get this type of person to join a gym I would show them results of people actually losing weight by exercise. I think this would help them see that exercise will help to keep in shape and lose weight if that was their goal.,"9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action."
Attentional Bias,Anchoring Bias,Bandwagon Effect,"To help a friend or loved one to overcome the Attentional Bias and adopt a new positive habit or pattern of behavior, I would try to explain to them what the bias is, and then go into examples in their day to day life that would make sense with how they interpret all things.","3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame.","I would tell them more about the Anchoring Bias and try to link it with their financial decisions in the past, as it would make sense in that context.","10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels.",New behavior adoption isn't affected by this bias.,None of the above. This bias doesn't affect any of the above conditions.
Attentional Bias,Anchoring Bias,Bandwagon Effect,New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",New behavior adoption isn't affected by this bias,5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.,New behavior adoption isn't affected by this bias,"9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action."
Attentional Bias,Bandwagon Effect,Anchoring Bias,New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",i would like to motivate him,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",would like to guide him like a mentor,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."
Bandwagon Effect,Anchoring Bias,Attentional Bias,"Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.","10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels.",yes,1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,yes,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."
Attentional Bias,Anchoring Bias,Bandwagon Effect,I would use reward incentives for avoiding attentional distraction,"3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame.",Prior knowledge or experience will affect motivation,"10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels.",Help them find common ground whether negative or positive,"10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels."
Attentional Bias,Bandwagon Effect,Anchoring Bias,"""New behavior adoption isn't affected by this bias","2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.","""New behavior adoption isn't affected by this bias","10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels."
Attentional Bias,Anchoring Bias,Bandwagon Effect,New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",i would try give the ground reality to my friend,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."
Anchoring Bias,Attentional Bias,Bandwagon Effect,New behavior adoption isn't affected by this bias,"3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame.",New behavior adoption isn't affected by this bias,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",New behavior adoption isn't affected by this bias,4. A person *remembers* to perform the actions that make up the new behavior. A person is unlikely to adopt a new behavior if they don't remember to perform the relevant actions at the right times.
Bandwagon Effect,Attentional Bias,Anchoring Bias,"To ethically leverage the Bandwagon Effect to help someone to adopt a new positive habit or pattern of behavior, I would do what my friend needed help with doing and try to get some more people to adapt as well.","6. A person *chooses* to perform the relevant actions instead of performing other actions. Even if a person remembers to perform an action, they're very unlikely to perform that action unless they choose it over the other actions or opportunities that are available to them at the same time.","To help a friend or loved one to overcome the Attentional Bias and adopt a new positive habit or pattern of behavior, I would show them information that positively enforced their new habit.",1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it.,New behavior adoption isn't affected by this bias,None of the above. This bias doesn't affect any of the above conditions.
